#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113044E+04   0.339913E+01   0.343794E-02   0.339913E+01   0.548808E-01  -0.163874E-04   0.343794E-02  -0.163874E-04   0.488559E-07
     3   0.105213E+04   0.425019E+01   0.341767E-02   0.425019E+01   0.883130E-01  -0.198897E-04   0.341767E-02  -0.198897E-04   0.594171E-07
     4   0.979498E+03   0.435801E+01   0.332622E-02   0.435801E+01   0.977554E-01  -0.198381E-04   0.332622E-02  -0.198381E-04   0.684188E-07
     5   0.923558E+03   0.402700E+01   0.320825E-02   0.402700E+01   0.853385E-01  -0.172795E-04   0.320825E-02  -0.172795E-04   0.762100E-07
     6   0.882887E+03   0.349185E+01   0.308239E-02   0.349185E+01   0.620300E-01  -0.131638E-04   0.308239E-02  -0.131638E-04   0.829914E-07
     7   0.854560E+03   0.290115E+01   0.295833E-02   0.290115E+01   0.388816E-01  -0.840229E-05   0.295833E-02  -0.840229E-05   0.889452E-07
     8   0.835355E+03   0.234534E+01   0.283675E-02   0.234534E+01   0.222142E-01  -0.381774E-05   0.283675E-02  -0.381774E-05   0.942003E-07
     9   0.823137E+03   0.187046E+01   0.271686E-02   0.187046E+01   0.131021E-01  -0.491247E-07   0.271686E-02  -0.491247E-07   0.988652E-07
    10   0.816338E+03   0.150124E+01   0.260069E-02   0.150124E+01   0.941925E-02   0.256737E-05   0.260069E-02   0.256737E-05   0.103008E-06
    11   0.813385E+03   0.124573E+01   0.249331E-02   0.124573E+01   0.829258E-02   0.399275E-05   0.249331E-02   0.399275E-05   0.106721E-06
    12   0.814387E+03   0.110129E+01   0.239621E-02   0.110129E+01   0.773988E-02   0.432890E-05   0.239621E-02   0.432890E-05   0.110027E-06
    13   0.817562E+03   0.104367E+01   0.230812E-02   0.104367E+01   0.691092E-02   0.374456E-05   0.230812E-02   0.374456E-05   0.112971E-06
    14   0.821973E+03   0.104403E+01   0.222708E-02   0.104403E+01   0.600529E-02   0.246806E-05   0.222708E-02   0.246806E-05   0.115606E-06
    15   0.827879E+03   0.108322E+01   0.215031E-02   0.108322E+01   0.531399E-02   0.917234E-06   0.215031E-02   0.917234E-06   0.117961E-06
    16   0.835653E+03   0.114556E+01   0.207565E-02   0.114556E+01   0.504316E-02  -0.495597E-06   0.207565E-02  -0.495597E-06   0.120062E-06
    17   0.845204E+03   0.121604E+01   0.200431E-02   0.121604E+01   0.518856E-02  -0.156984E-05   0.200431E-02  -0.156984E-05   0.121937E-06
    18   0.855580E+03   0.128308E+01   0.193775E-02   0.128308E+01   0.550844E-02  -0.220217E-05   0.193775E-02  -0.220217E-05   0.123612E-06
    19   0.867606E+03   0.134117E+01   0.187524E-02   0.134117E+01   0.586983E-02  -0.246671E-05   0.187524E-02  -0.246671E-05   0.125097E-06
    20   0.879603E+03   0.138546E+01   0.181563E-02   0.138546E+01   0.625053E-02  -0.245770E-05   0.181563E-02  -0.245770E-05   0.126402E-06
    21   0.891913E+03   0.142198E+01   0.175840E-02   0.142198E+01   0.669536E-02  -0.217275E-05   0.175840E-02  -0.217275E-05   0.127548E-06
    22   0.904808E+03   0.145705E+01   0.170329E-02   0.145705E+01   0.733638E-02  -0.162449E-05   0.170329E-02  -0.162449E-05   0.128555E-06
